Occupation,BH,BH_SWE,MOE,B,B_SWE,B_MOE,M,M_SWE,M_MOE,P,P_SWE,P_MOE,D,D_SWE,D_MOE
"Wholesale and retail buyers, except farm products","22,500","$2,450,000 ","$235,000 ","20,452","$2,463,000 ","$278,000 ","2,021",(B),(B),27,(B),(B),-,(B),(B)
"Industrial production managers","22,137","$3,150,000 ","$182,000 ","16,807","$3,111,000 ","$223,000 ","5,175",(B),(B),155,(B),(B),-,(B),(B)
"Insurance underwriters","21,902",(B),(B),"18,334",(B),(B),"3,211",(B),(B),357,(B),(B),-,(B),(B)
Clergy,"21,329","$1,784,000 ","$138,000 ","9,266",(B),(B),"8,140",(B),(B),"1,172",(B),(B),"2,751",(B),(B)
"Production, planning, and expediting clerks","21,319","$2,354,000 ","$316,000 ","17,822","$2,410,000 ","$297,000 ","3,232",(B),(B),36,(B),(B),229,(B),(B)
Designers,"20,371","$2,294,000 ","$284,000 ","17,255","$2,304,000 ","$360,000 ","2,836",(B),(B),280,(B),(B),-,(B),(B)
"Paralegals and legal assistants","19,848","$2,442,000 ","$375,000 ","17,084","$2,162,000 ","$284,000 ","2,020",(B),(B),686,(B),(B),58,(B),(B)
"Billing and posting clerks","19,018","$1,615,000 ","$173,000 ","17,253","$1,570,000 ","$153,000 ","1,693",(B),(B),72,(B),(B),-,(B),(B)
"Network and computer systems administrators","18,882","$2,906,000 ","$264,000 ","15,662","$2,848,000 ","$148,000 ","3,184",(B),(B),-,(B),(B),36,(B),(B)
"First-line supervisors of construction trades and extraction workers","18,846","$2,249,000 ","$232,000 ","17,144","$2,261,000 ","$234,000 ","1,634",(B),(B),68,(B),(B),-,(B),(B)
"Financial specialists, all other","18,507","$3,476,000 ","$527,000 ","12,370",(B),(B),"5,587",(B),(B),218,(B),(B),332,(B),(B)
"Stock clerks and order fillers","17,692","$1,402,000 ","$112,000 ","16,463","$1,400,000 ","$149,000 ","1,056",(B),(B),121,(B),(B),52,(B),(B)
"Operations research analysts","17,648","$3,153,000 ","$206,000 ","12,441","$2,966,000 ","$362,000 ","4,760",(B),(B),342,(B),(B),105,(B),(B)
"First-line supervisors of food preparation and serving workers","17,567",(B),(B),"15,276",(B),(B),"2,106",(B),(B),47,(B),(B),138,(B),(B)
"Insurance claims and policy processing clerks","17,271","$1,738,000 ","$160,000 ","15,603","$1,666,000 ","$181,000 ","1,522",(B),(B),146,(B),(B),-,(B),(B)
"Lodging managers","16,811","$2,428,000 ","$216,000 ","14,349",(B),(B),"2,204",(B),(B),258,(B),(B),-,(B),(B)
"Inspectors, testers, sorters, samplers, and weighers","15,969","$1,880,000 ","$196,000 ","13,801","$1,778,000 ","$181,000 ","1,912",(B),(B),171,(B),(B),85,(B),(B)
"Physicians and surgeons","15,713",(B),(B),"3,249",(B),(B),"1,101",(B),(B),"8,096",(B),(B),"3,267",(B),(B)
"Receptionists and information clerks","15,418","$1,435,000 ","$153,000 ","13,894","$1,393,000 ","$127,000 ","1,524",(B),(B),-,(B),(B),-,(B),(B)
