UNITID,CIPCODE
100751,43.0104
100751,43.0104
100751,43.0104
100751,44.0401
100751,44.0701
100751,44.0701
100751,44.0701
100751,45.0201
100751,45.0201
100751,45.0201
100751,45.0201
100751,45.0701
100751,45.0701
100751,45.0701
100751,45.0901
100751,45.0901
100751,45.1001
100751,45.1001
100751,45.1001
100751,45.1001
100751,45.1101
100751,50.0301
100751,50.0301
100751,50.0408
100751,50.0501
100751,50.0501
100751,50.0501
100751,50.0702
100751,50.0702
100751,50.0702
100751,50.0703
100751,50.0703
100751,50.0703
100751,50.0799
100751,50.0901
100751,50.0901
100751,50.0901
100751,50.0901
100751,51.0203
100751,51.0204
100751,51.0204
100751,51.0702
100751,51.0913
100751,51.1508
100751,51.2201
100751,51.231
100751,51.3101
100751,51.3801
100751,51.3801
100751,51.3818
100751,51.9999
100751,51.9999
100751,51.9999
100751,52.0201
100751,52.0201
100751,52.0201
100751,52.0201
100751,52.0301
100751,52.0301
100751,52.0301
100751,52.0301
100751,52.0601
100751,52.0601
100751,52.0601
100751,52.0601
100751,52.0801
100751,52.0801
100751,52.0801
100751,52.0801
100751,52.0905
100751,52.0905
100751,52.1201
100751,52.1301
100751,52.1301
100751,52.1301
100751,52.1301
100751,52.1401
100751,52.1401
100751,52.1401
100751,52.1401
100751,52.1601
100751,54.0101
100751,54.0101
100751,54.0101
100751,54.0101
100760,11.0101
100760,11.0101
100760,11.0101
100760,12.0401
100760,12.0401
100760,15.0613
100760,15.0613
100760,15.0613
100760,15.1301
100760,15.1301
100760,24.0101
100760,24.0102
100760,30.9999
100760,47.0105
100760,47.0105
100760,47.0105
100760,47.0201
100760,47.0201
100760,48.0503
100760,48.0503
100760,48.0503
100760,48.0508
100760,48.0508
100760,48.0508
100760,48.0599
100760,48.0599
100760,48.0599
100760,51.3801
100760,51.3901
100760,52.0201
100760,52.0401
100760,52.0401
100812,11.0101
100812,11.0101
100812,13.1001
100812,13.1001
100812,13.1202
100812,13.1209
100812,13.1314
100812,13.1319
100812,23.0101
100812,24.0101
100812,26.0101
100812,26.0101
100812,27.0101
100812,30.9999
100812,30.9999
100812,31.0504
100812,38.0201
100812,40.0501
100812,42.0101
100812,43.0104
100812,43.0201
100812,45.0101
100812,45.1001
100812,45.1101
100812,45.1101
100812,50.0701
100812,51.9999
100812,52.0201
100812,52.0201
100812,52.0202
100812,52.0202
100812,52.0203
100812,52.0203
100812,52.0301
100812,52.1001
100812,52.1206
100812,52.9999
100812,52.9999
100812,54.0101
100812,54.0101
100830,3.0101
100830,9.0101
100830,11.0701
100830,11.1003
100830,13.0401
100830,13.0501
100830,13.1001
100830,13.1001
100830,13.1101
100830,13.1202
100830,13.1202
100830,13.1202
100830,13.1205
100830,13.1205
100830,16.0101
100830,16.0905
100830,23.0101
100830,23.0101
100830,23.1399
100830,24.0101
100830,24.0101
100830,24.0101
100830,26.0101
100830,26.0101
100830,27.0101
100830,27.0101
100830,31.0505
100830,31.0505
100830,40.0101
100830,40.0501
100830,42.0101
100830,42.0101
100830,43.0104
100830,43.0104
100830,44.0401
100830,45.0601
100830,45.0702
100830,45.0702
100830,45.0702
100830,45.0702
100830,45.1001
100830,45.1001
100830,45.1101
100830,50.0701
100830,51.1004
100830,51.3801
100830,52.0101
100830,52.0101
100830,52.0201
100830,52.0213
100830,52.0301
100830,52.0601
100830,52.0801
100830,52.1001
100830,52.1201
100830,52.1201
100830,52.1401
100830,52.1401
100830,54.0101
100830,54.0101
100858,1.0103
100858,1.0103
100858,1.0303
100858,1.0303
100858,1.0303
100858,1.0901
100858,1.0901
100858,1.0901
100858,1.0907
100858,1.1102
100858,1.1102
100858,1.1103
100858,1.1103
100858,1.1103
100858,1.1199
100858,1.1199
100858,1.1199
100858,3.0101
100858,3.0104
100858,3.0201
100858,3.0502
100858,3.0599
100858,3.0599
100858,3.0601
100858,4.0201
100858,4.0301
100858,4.0401
100858,4.0501
100858,4.0601
100858,4.1001
100858,9.0102
100858,9.0199
100858,9.0199
100858,9.0199
100858,9.0401
100858,9.0701
100858,9.0902
100858,11.0101
100858,13.0101
100858,13.0401
100858,13.0401
100858,13.0401
100858,13.0401
